Order_ID,Order_Date,Region,City,Category,Sales_Channel,Sales_Rep,Payment_Method,Customer_Segment,Units_Sold,Unit_Price,Discount_Pct,Shipping_Cost,Customer_Age,Customer_Rating,Return_Flag,Revenue,Profit,Month,Month_Name,Quarter,Week,Day_of_Week
ORD-10013,2023-01-03,South,Chennai,Clothing,In-Store,Frank,Credit Card,Corporate,22,364.93,10,197.94,60,3.6,0,7225.61,2658.34,1,Jan,Q1,1,Tuesday
ORD-10014,2023-05-02,West,Mumbai,Electronics,In-Store,Grace,Cash,Corporate,4,365.05,5,98.77,63,4.5,0,1387.19,360.48,5,May,Q2,18,Tuesday
ORD-10015,2023-04-30,South,Chennai,Clothing,In-Store,Bob,UPI,Retail,26,278.97,15,52.27,47,2.9,0,6165.24,982.12,4,Apr,Q2,17,Sunday
ORD-10016,2023-04-22,West,Ahmedabad,Electronics,Online,Frank,Cash,Retail,15,294.81,0,133.55,23,2.9,0,4422.15,591.98,4,Apr,Q2,16,Saturday
ORD-10017,2023-10-10,South,Hyderabad,Food,Online,Carol,UPI,Corporate,8,17.66,20,104.56,21,4.5,0,113.02,-70.09,10,Oct,Q4,41,Tuesday
ORD-10018,2023-03-04,North,Chandigarh,Food,Online,Grace,EMI,Retail,48,34.04,15,150.02,28,3.0,1,1388.83,327.93,3,Mar,Q1,9,Saturday
ORD-10019,2023-07-23,West,Pune,Food,Online,Bob,UPI,Retail,9,248.93,5,113.81,30,4.7,0,2128.35,495.76,7,Jul,Q3,29,Sunday
ORD-10020,2023-01-13,North,Delhi,Sports,Online,Alice,Credit Card,SME,21,265.61,15,6.29,21,3.1,0,4741.14,1285.86,1,Jan,Q1,2,Friday
ORD-10021,2023-05-14,East,Kolkata,Electronics,Online,Carol,Net Banking,Retail,2,85.44,5,110.33,57,4.8,0,162.34,-52.03,5,May,Q2,19,Sunday
ORD-10022,2023-01-01,South,Hyderabad,Electronics,Online,Grace,UPI,Retail,45,396.39,0,56.63,44,4.1,0,17837.55,3824.3,1,Jan,Q1,52,Sunday
ORD-10023,2023-12-19,West,Pune,Clothing,Wholesale,Grace,Credit Card,Retail,25,353.81,0,178.36,54,3.7,1,8845.25,1769.44,12,Dec,Q4,51,Tuesday
ORD-10024,2023-04-22,West,Ahmedabad,Electronics,In-Store,Grace,Net Banking,Corporate,39,291.1,20,69.51,66,3.3,0,9082.32,2188.86,4,Apr,Q2,16,Saturday
ORD-10025,2023-09-16,North,Chandigarh,Electronics,Online,Eva,Cash,Retail,10,253.1,0,33.77,24,4.2,0,2531.0,704.68,9,Sep,Q3,37,Saturday
ORD-10026,2023-11-11,East,Bhubaneswar,Food,In-Store,Alice,Net Banking,Corporate,48,297.55,0,137.88,46,4.7,0,14282.4,3606.87,11,Nov,Q4,45,Saturday
ORD-10027,2023-03-31,North,Chandigarh,Electronics,Online,Carol,UPI,Retail,36,325.32,0,98.51,50,4.4,0,11711.52,3900.56,3,Mar,Q1,13,Friday
ORD-10028,2023-09-20,South,Hyderabad,Electronics,In-Store,Frank,UPI,Corporate,23,442.21,10,170.19,33,3.4,0,9153.75,2567.54,9,Sep,Q3,38,Wednesday
ORD-10029,2023-08-05,North,Chandigarh,Sports,Online,Carol,UPI,SME,17,23.86,0,41.66,36,4.4,0,405.62,7.03,8,Aug,Q3,31,Saturday
ORD-10030,2023-08-26,North,Lucknow,Clothing,Wholesale,Carol,Credit Card,Retail,17,187.89,5,36.05,69,4.2,0,3034.42,625.8,8,Aug,Q3,34,Saturday
ORD-10031,2023-01-29,North,Chandigarh,Electronics,Wholesale,Frank,Credit Card,Retail,43,324.86,0,124.8,62,3.1,0,13968.98,5177.9,1,Jan,Q1,4,Sunday
ORD-10032,2023-06-12,South,Chennai,Sports,In-Store,David,EMI,Retail,1,207.17,0,67.75,25,2.9,1,207.17,-6.97,6,Jun,Q2,24,Monday
ORD-10033,2023-01-24,North,Delhi,Electronics,Wholesale,Alice,Cash,Corporate,5,86.7,5,158.1,53,3.1,1,411.82,-63.09,1,Jan,Q1,4,Tuesday
ORD-10034,2023-10-27,North,Chandigarh,Electronics,Online,David,UPI,Corporate,22,282.94,5,139.26,27,4.1,0,5913.45,665.77,10,Oct,Q4,43,Friday
ORD-10035,2023-09-21,North,Chandigarh,Electronics,In-Store,Grace,UPI,Retail,45,476.03,0,5.97,38,2.8,0,21421.35,8025.17,9,Sep,Q3,38,Thursday
ORD-10036,2023-09-17,West,Mumbai,Food,Online,Carol,UPI,Retail,23,138.72,10,120.28,65,3.4,0,2871.5,1013.2,9,Sep,Q3,37,Sunday
ORD-10037,2023-03-23,East,Kolkata,Clothing,Online,Alice,UPI,Retail,44,379.8,0,46.05,66,3.8,0,16711.2,4682.04,3,Mar,Q1,12,Thursday
ORD-10038,2023-05-25,North,Delhi,Furniture,Online,Carol,UPI,Retail,34,294.66,0,85.63,31,2.9,1,10018.44,2237.83,5,May,Q2,21,Thursday
ORD-10039,2023-03-22,West,Pune,Food,Online,Grace,UPI,Corporate,19,373.46,10,154.22,40,4.0,0,6386.17,1666.56,3,Mar,Q1,12,Wednesday
ORD-10040,2023-07-24,South,Hyderabad,Electronics,In-Store,Frank,UPI,Corporate,8,115.27,0,118.03,43,4.5,0,922.16,-2.16,7,Jul,Q3,30,Monday
ORD-10041,2023-01-20,North,Chandigarh,Electronics,Online,Frank,Net Banking,SME,41,158.45,0,105.7,20,3.5,0,6496.45,1350.66,1,Jan,Q1,3,Friday
ORD-10042,2023-12-07,South,Chennai,Furniture,Wholesale,Eva,EMI,Retail,22,201.36,0,140.76,68,3.8,0,4429.92,1104.16,12,Dec,Q4,49,Thursday
ORD-10043,2023-12-25,East,Kolkata,Food,In-Store,Alice,UPI,Corporate,5,71.24,20,82.53,49,4.4,0,284.96,-29.6,12,Dec,Q4,52,Monday
ORD-10044,2023-08-20,West,Ahmedabad,Clothing,Online,Grace,Credit Card,Retail,23,369.17,0,172.0,65,2.9,0,8490.91,3038.64,8,Aug,Q3,33,Sunday
ORD-10045,2023-04-04,West,Ahmedabad,Electronics,In-Store,Frank,UPI,Corporate,1,220.97,5,189.12,63,3.2,1,209.92,-128.74,4,Apr,Q2,14,Tuesday
ORD-10046,2023-03-02,South,Hyderabad,Clothing,Online,Frank,Net Banking,Retail,28,223.28,20,42.62,44,3.3,0,5001.47,1507.66,3,Mar,Q1,9,Thursday
ORD-10047,2023-02-23,West,Ahmedabad,Food,Online,Grace,EMI,Retail,32,437.04,0,135.54,69,4.9,0,13985.28,1562.19,2,Feb,Q1,8,Thursday
ORD-10048,2023-03-09,South,Bangalore,Electronics,Online,Eva,Credit Card,Retail,18,415.53,5,49.51,38,5.0,0,7105.56,1307.75,3,Mar,Q1,10,Thursday
ORD-10049,2023-09-08,South,Hyderabad,Clothing,Wholesale,David,Net Banking,SME,34,310.79,10,63.62,21,4.6,0,9510.17,1445.06,9,Sep,Q3,36,Friday
ORD-10050,2023-07-25,South,Hyderabad,Furniture,In-Store,Eva,Credit Card,SME,21,215.34,5,82.49,31,4.1,0,4296.03,1430.95,7,Jul,Q3,30,Tuesday
ORD-10051,2023-10-01,South,Bangalore,Sports,Wholesale,Frank,UPI,Corporate,9,205.71,10,34.56,69,3.1,0,1666.25,313.3,10,Oct,Q4,39,Sunday
ORD-10052,2023-05-01,North,Lucknow,Furniture,Online,Alice,Cash,Corporate,43,257.8,5,174.31,67,4.0,0,10531.13,1117.54,5,May,Q2,18,Monday
ORD-10053,2023-11-17,West,Ahmedabad,Electronics,Online,Bob,Credit Card,Retail,32,158.58,0,115.07,24,3.8,0,5074.56,848.93,11,Nov,Q4,46,Friday
ORD-10054,2023-07-31,West,Ahmedabad,Furniture,In-Store,Bob,Net Banking,Corporate,33,60.72,25,179.44,36,4.8,0,1502.82,242.09,7,Jul,Q3,31,Monday
ORD-10055,2023-04-20,West,Pune,Clothing,In-Store,Eva,Net Banking,Corporate,13,334.86,10,161.69,18,3.1,0,3917.86,516.57,4,Apr,Q2,16,Thursday
ORD-10056,2023-01-21,South,Bangalore,Clothing,In-Store,Grace,Cash,Corporate,30,81.41,10,87.93,21,3.6,1,2198.07,497.96,1,Jan,Q1,3,Saturday
ORD-10057,2023-05-25,East,Bhubaneswar,Food,Online,Frank,EMI,Corporate,13,74.1,0,32.04,59,3.3,0,963.3,332.09,5,May,Q2,21,Thursday
ORD-10058,2023-10-18,West,Ahmedabad,Food,Online,Eva,Net Banking,Retail,3,291.71,15,64.72,60,4.6,0,743.86,51.85,10,Oct,Q4,42,Wednesday
ORD-10059,2023-07-19,North,Lucknow,Furniture,In-Store,Frank,UPI,Retail,30,340.63,0,68.29,42,2.8,0,10218.9,2719.15,7,Jul,Q3,29,Wednesday
ORD-10060,2023-01-26,South,Bangalore,Electronics,In-Store,Henry,UPI,Retail,37,103.6,25,133.4,59,3.6,1,2874.9,770.97,1,Jan,Q1,4,Thursday
ORD-10061,2023-05-06,East,Patna,Electronics,In-Store,Bob,Credit Card,Retail,6,238.57,5,101.23,67,4.1,0,1359.85,440.04,5,May,Q2,18,Saturday
ORD-10062,2023-09-09,West,Pune,Food,Online,Carol,Cash,Corporate,13,400.17,0,17.22,18,3.4,0,5202.21,522.45,9,Sep,Q3,36,Saturday
ORD-10063,2023-11-07,East,Bhubaneswar,Electronics,In-Store,Eva,UPI,SME,16,224.41,0,1.12,64,4.8,0,3590.56,1389.38,11,Nov,Q4,45,Tuesday
ORD-10064,2023-06-28,East,Bhubaneswar,Food,Online,Alice,Cash,Retail,34,361.22,0,80.45,39,3.4,1,12281.48,4749.32,6,Jun,Q2,26,Wednesday
ORD-10065,2023-12-30,North,Delhi,Electronics,Online,Bob,Credit Card,Retail,3,412.44,15,111.91,51,3.2,1,1051.72,222.93,12,Dec,Q4,52,Saturday
ORD-10066,2023-02-03,South,Hyderabad,Food,Wholesale,Henry,Credit Card,SME,31,257.0,0,105.37,45,3.2,0,7967.0,768.53,2,Feb,Q1,5,Friday
ORD-10067,2023-02-15,North,Delhi,Electronics,Wholesale,Bob,Net Banking,Retail,40,134.95,0,94.48,24,4.9,1,5398.0,1859.57,2,Feb,Q1,7,Wednesday
ORD-10068,2023-03-04,South,Bangalore,Electronics,Online,Grace,Net Banking,SME,42,275.67,10,97.8,31,2.8,0,10420.33,2396.78,3,Mar,Q1,9,Saturday
ORD-10069,2023-08-20,East,Bhubaneswar,Electronics,Wholesale,Henry,Credit Card,SME,45,137.09,0,196.63,65,3.1,0,6169.05,1596.27,8,Aug,Q3,33,Sunday
ORD-10070,2023-03-06,West,Mumbai,Food,Online,David,Credit Card,Retail,45,223.76,15,127.45,66,4.9,0,8558.82,1052.64,3,Mar,Q1,10,Monday
ORD-10071,2023-06-25,North,Lucknow,Food,In-Store,Carol,UPI,Corporate,36,486.6,20,114.34,36,3.2,0,14014.08,4123.72,6,Jun,Q2,25,Sunday
ORD-10072,2023-11-21,South,Bangalore,Furniture,In-Store,Eva,UPI,Retail,34,218.08,0,66.3,28,4.8,0,7414.72,1351.7,11,Nov,Q4,47,Tuesday
ORD-10073,2023-09-03,North,Chandigarh,Clothing,In-Store,Eva,Net Banking,Corporate,3,372.69,0,7.09,59,3.5,0,1118.07,313.76,9,Sep,Q3,35,Sunday
ORD-10074,2023-10-05,West,Ahmedabad,Electronics,Wholesale,David,Credit Card,Retail,40,28.17,20,147.75,43,4.9,0,901.44,70.16,10,Oct,Q4,40,Thursday
ORD-10075,2023-10-08,East,Kolkata,Food,Online,Grace,Credit Card,Retail,38,306.29,0,14.87,40,3.6,0,11639.02,3855.57,10,Oct,Q4,40,Sunday
ORD-10076,2023-04-06,West,Mumbai,Food,Online,Carol,Net Banking,SME,19,449.05,0,44.92,63,3.8,1,8531.95,1197.8,4,Apr,Q2,14,Thursday
ORD-10077,2023-08-08,West,Mumbai,Food,Online,Alice,Cash,Corporate,34,57.66,15,59.74,42,3.8,0,1666.37,424.83,8,Aug,Q3,32,Tuesday
ORD-10078,2023-12-07,North,Delhi,Electronics,Online,Grace,EMI,Retail,49,493.72,5,40.76,39,3.1,0,22982.67,2567.5,12,Dec,Q4,49,Thursday
ORD-10079,2023-08-26,South,Chennai,Food,Wholesale,Henry,EMI,Retail,25,99.44,25,63.96,48,4.0,0,1864.5,495.09,8,Aug,Q3,34,Saturday
ORD-10080,2023-02-21,South,Chennai,Furniture,Wholesale,Alice,UPI,Retail,10,190.98,5,40.09,19,4.3,0,1814.31,524.54,2,Feb,Q1,8,Tuesday
ORD-10081,2023-12-13,South,Hyderabad,Food,In-Store,Carol,Credit Card,SME,46,110.76,0,58.15,61,4.1,0,5094.96,1281.53,12,Dec,Q4,50,Wednesday
ORD-10082,2023-06-21,East,Kolkata,Electronics,Wholesale,Bob,UPI,SME,25,420.95,20,167.85,30,4.9,0,8419.0,2629.88,6,Jun,Q2,25,Wednesday
ORD-10083,2023-11-06,West,Pune,Sports,In-Store,Henry,UPI,Retail,18,454.12,0,14.13,41,4.9,0,8174.16,1465.14,11,Nov,Q4,45,Monday
ORD-10084,2023-05-22,North,Chandigarh,Furniture,In-Store,David,Credit Card,Retail,24,40.12,10,170.01,46,3.8,1,866.59,46.17,5,May,Q2,21,Monday
ORD-10085,2023-05-13,North,Chandigarh,Furniture,Online,Henry,EMI,Corporate,37,33.18,15,134.98,47,3.0,1,1043.51,63.61,5,May,Q2,19,Saturday
ORD-10086,2023-07-04,East,Kolkata,Clothing,In-Store,Henry,Credit Card,SME,1,59.34,10,85.64,60,3.0,0,53.41,-79.14,7,Jul,Q3,27,Tuesday
ORD-10087,2023-07-15,North,Lucknow,Furniture,Online,Alice,UPI,Corporate,5,420.17,10,18.08,66,3.5,0,1890.76,670.73,7,Jul,Q3,28,Saturday
ORD-10088,2023-03-03,West,Mumbai,Clothing,In-Store,Frank,Credit Card,Retail,37,384.95,5,83.35,26,3.7,0,13530.99,4675.68,3,Mar,Q1,9,Friday
ORD-10089,2023-08-07,South,Hyderabad,Electronics,Online,Henry,Cash,Retail,35,279.96,10,34.15,60,5.0,0,8818.74,2621.38,8,Aug,Q3,32,Monday
ORD-10090,2023-02-15,East,Kolkata,Electronics,Online,David,EMI,Corporate,9,360.21,10,32.86,34,4.7,0,2917.7,866.25,2,Feb,Q1,7,Wednesday
ORD-10091,2023-03-28,South,Chennai,Clothing,In-Store,Frank,UPI,Retail,21,27.54,5,170.46,26,4.8,0,549.42,-39.57,3,Mar,Q1,13,Tuesday
ORD-10092,2023-09-08,North,Chandigarh,Sports,In-Store,Bob,Credit Card,Retail,27,350.34,0,28.45,57,4.4,0,9459.18,1733.9,9,Sep,Q3,36,Friday
ORD-10093,2023-01-24,South,Hyderabad,Furniture,Wholesale,Grace,EMI,Corporate,44,438.43,0,156.85,50,2.7,0,19290.92,5321.94,1,Jan,Q1,4,Tuesday
ORD-10094,2023-03-17,North,Delhi,Furniture,Online,Henry,Cash,Retail,15,412.54,5,151.78,56,4.8,0,5878.7,2112.17,3,Mar,Q1,11,Friday
ORD-10095,2023-07-10,North,Delhi,Furniture,In-Store,Alice,Net Banking,Retail,40,177.83,10,72.05,40,2.6,0,6401.88,2175.91,7,Jul,Q3,28,Monday
ORD-10096,2023-07-20,South,Hyderabad,Clothing,Online,Bob,UPI,Corporate,48,54.72,0,155.26,56,4.7,0,2626.56,597.31,7,Jul,Q3,29,Thursday
ORD-10097,2023-12-08,South,Bangalore,Electronics,In-Store,Carol,Credit Card,Corporate,30,311.44,5,79.1,64,3.5,0,8876.04,2632.45,12,Dec,Q4,49,Friday
ORD-10098,2023-05-21,East,Bhubaneswar,Sports,Online,Alice,UPI,Corporate,35,482.48,10,142.35,40,3.1,0,15198.12,3239.56,5,May,Q2,20,Sunday
ORD-10099,2023-07-22,East,Patna,Food,Online,Alice,EMI,Retail,36,217.19,5,53.74,61,2.9,0,7427.9,1666.36,7,Jul,Q3,29,Saturday
ORD-10100,2023-02-11,West,Pune,Clothing,Online,Henry,UPI,Retail,5,464.98,25,125.17,55,4.2,1,1743.68,567.87,2,Feb,Q1,6,Saturday
ORD-10101,2023-01-26,West,Ahmedabad,Clothing,Online,Eva,Credit Card,Retail,40,442.32,5,167.54,62,4.5,0,16808.16,6088.29,1,Jan,Q1,4,Thursday
ORD-10102,2023-08-18,South,Hyderabad,Electronics,Online,Bob,Credit Card,Corporate,40,237.17,10,77.65,42,2.7,0,8538.12,1191.57,8,Aug,Q3,33,Friday
ORD-10103,2023-10-31,South,Bangalore,Food,In-Store,Eva,Net Banking,Corporate,47,211.02,25,60.95,59,3.7,0,7438.46,1577.94,10,Oct,Q4,44,Tuesday
ORD-10104,2023-04-14,West,Pune,Clothing,In-Store,Alice,UPI,SME,3,279.21,0,33.11,47,3.0,0,837.63,297.21,4,Apr,Q2,15,Friday
ORD-10105,2023-09-06,North,Lucknow,Electronics,In-Store,Carol,UPI,Retail,11,113.51,5,129.68,50,3.6,0,1186.18,318.21,9,Sep,Q3,36,Wednesday
ORD-10106,2023-07-31,South,Bangalore,Food,In-Store,David,EMI,Corporate,28,42.57,0,89.03,25,2.5,0,1191.96,319.87,7,Jul,Q3,31,Monday
ORD-10107,2023-01-18,North,Lucknow,Food,Online,Grace,Net Banking,Retail,10,389.37,0,45.97,54,5.0,0,3893.7,1060.33,1,Jan,Q1,3,Wednesday
ORD-10108,2023-12-26,South,Hyderabad,Food,Online,Henry,Net Banking,Corporate,46,229.77,0,149.66,54,5.0,1,10569.42,2641.07,12,Dec,Q4,52,Tuesday
ORD-10109,2023-11-20,West,Mumbai,Clothing,In-Store,Frank,Cash,Retail,34,472.98,0,105.89,67,3.9,0,16081.32,2565.27,11,Nov,Q4,47,Monday
ORD-10110,2023-06-02,South,Bangalore,Clothing,Online,Alice,UPI,Corporate,31,103.65,5,126.3,21,4.8,0,3052.49,663.93,6,Jun,Q2,22,Friday
ORD-10111,2023-12-08,South,Hyderabad,Electronics,Wholesale,Alice,EMI,Retail,1,492.12,25,147.43,66,2.9,0,369.09,-58.26,12,Dec,Q4,49,Friday
ORD-10112,2023-01-13,South,Chennai,Clothing,In-Store,Eva,Credit Card,Retail,12,211.24,5,81.24,19,3.9,0,2408.14,502.26,1,Jan,Q1,2,Friday
ORD-10113,2023-03-30,North,Delhi,Clothing,In-Store,David,Credit Card,Corporate,14,362.46,10,158.61,59,4.5,0,4567.0,690.09,3,Mar,Q1,13,Thursday
ORD-10114,2023-11-02,East,Bhubaneswar,Food,Online,Carol,Net Banking,Retail,8,462.36,25,131.1,69,5.0,0,2774.16,837.57,11,Nov,Q4,44,Thursday
ORD-10115,2023-05-07,West,Pune,Clothing,Online,David,Credit Card,Retail,6,271.6,0,49.41,41,4.3,0,1629.6,564.07,5,May,Q2,18,Sunday
ORD-10116,2023-02-08,East,Bhubaneswar,Food,Online,Grace,Cash,Retail,23,306.35,5,151.51,48,2.7,0,6693.75,1514.29,2,Feb,Q1,6,Wednesday
ORD-10117,2023-08-17,West,Mumbai,Electronics,Online,Bob,UPI,Corporate,37,278.84,20,99.38,23,3.2,0,8253.66,1891.04,8,Aug,Q3,33,Thursday
ORD-10118,2023-09-30,North,Lucknow,Food,Wholesale,Henry,Credit Card,Retail,49,171.75,0,19.14,34,4.7,0,8415.75,2154.33,9,Sep,Q3,39,Saturday
ORD-10119,2023-01-12,North,Delhi,Electronics,Online,Bob,Credit Card,Retail,26,326.31,25,169.34,40,4.9,0,6363.04,2016.76,1,Jan,Q1,2,Thursday
ORD-10120,2023-01-16,West,Mumbai,Sports,Online,Frank,Credit Card,Retail,3,494.27,15,81.01,21,3.3,0,1260.39,173.09,1,Jan,Q1,3,Monday
ORD-10121,2023-01-15,East,Patna,Electronics,Online,Eva,Credit Card,Retail,19,57.27,10,69.09,28,2.6,0,979.32,202.13,1,Jan,Q1,2,Sunday
ORD-10122,2023-09-27,South,Hyderabad,Clothing,Online,Bob,Cash,Retail,48,192.79,5,28.1,41,2.5,1,8791.22,1761.25,9,Sep,Q3,39,Wednesday
ORD-10123,2023-10-01,West,Mumbai,Food,Wholesale,Alice,UPI,Retail,40,43.03,0,162.04,44,3.2,0,1721.2,139.42,10,Oct,Q4,39,Sunday
ORD-10124,2023-03-26,West,Ahmedabad,Food,In-Store,David,UPI,Retail,17,49.39,0,86.7,27,3.6,0,839.63,126.0,3,Mar,Q1,12,Sunday
ORD-10125,2023-11-25,East,Patna,Electronics,Online,David,UPI,SME,47,60.46,10,100.15,65,2.5,0,2557.46,296.56,11,Nov,Q4,47,Saturday
ORD-10126,2023-02-09,East,Kolkata,Furniture,Online,Bob,Credit Card,SME,13,305.18,5,92.27,31,4.1,0,3768.97,937.24,2,Feb,Q1,6,Thursday
ORD-10127,2023-07-16,North,Chandigarh,Food,Online,Frank,Credit Card,Corporate,24,153.7,5,102.06,29,4.5,1,3504.36,1047.15,7,Jul,Q3,28,Sunday
ORD-10128,2023-09-25,East,Bhubaneswar,Clothing,Wholesale,David,Credit Card,Retail,33,110.24,0,38.68,33,3.1,0,3637.92,901.52,9,Sep,Q3,39,Monday
ORD-10129,2023-07-25,South,Hyderabad,Electronics,Online,Bob,UPI,Retail,48,139.55,5,137.99,27,3.4,0,6363.48,1004.32,7,Jul,Q3,30,Tuesday
ORD-10130,2023-12-24,East,Patna,Food,In-Store,David,UPI,Retail,47,334.42,5,148.49,43,4.6,0,14931.85,4694.57,12,Dec,Q4,51,Sunday
ORD-10131,2023-10-02,East,Bhubaneswar,Food,Online,Carol,Credit Card,Retail,12,338.55,15,196.73,26,3.7,0,3453.21,371.92,10,Oct,Q4,40,Monday
ORD-10132,2023-02-08,East,Patna,Electronics,Online,Henry,EMI,Retail,4,31.12,0,176.32,34,2.9,0,124.48,-139.18,2,Feb,Q1,6,Wednesday
ORD-10133,2023-01-04,East,Kolkata,Food,Online,Eva,UPI,Corporate,31,313.39,0,58.37,21,3.5,0,9715.09,1421.03,1,Jan,Q1,1,Wednesday
ORD-10134,2023-10-16,North,Delhi,Electronics,Online,Bob,Credit Card,Retail,7,448.47,20,180.96,25,3.5,0,2511.43,160.88,10,Oct,Q4,42,Monday
ORD-10135,2023-04-23,North,Chandigarh,Clothing,In-Store,Bob,Credit Card,SME,27,162.05,0,105.79,50,2.8,0,4375.35,1317.2,4,Apr,Q2,16,Sunday
ORD-10136,2023-10-17,South,Bangalore,Electronics,Online,Henry,UPI,SME,43,213.51,0,5.42,23,4.5,0,9180.93,3043.81,10,Oct,Q4,42,Tuesday
ORD-10137,2023-07-19,West,Ahmedabad,Food,In-Store,Carol,Net Banking,SME,7,10.66,20,41.34,38,2.7,0,59.7,-18.15,7,Jul,Q3,29,Wednesday
ORD-10138,2023-11-01,East,Patna,Electronics,Online,Alice,Cash,Retail,1,278.69,10,93.69,57,4.1,0,250.82,3.04,11,Nov,Q4,44,Wednesday
ORD-10139,2023-11-17,North,Delhi,Electronics,In-Store,Grace,Net Banking,Corporate,37,372.57,0,129.99,68,4.8,1,13785.09,3356.86,11,Nov,Q4,46,Friday
ORD-10140,2023-03-10,East,Kolkata,Clothing,In-Store,David,Credit Card,SME,31,111.69,0,147.49,36,4.9,1,3462.39,723.92,3,Mar,Q1,10,Friday
ORD-10141,2023-07-04,West,Pune,Food,In-Store,Grace,UPI,Corporate,8,342.08,0,87.37,39,4.6,0,2736.64,991.33,7,Jul,Q3,27,Tuesday
ORD-10142,2023-05-02,West,Pune,Electronics,Online,David,Credit Card,SME,30,408.7,0,62.0,68,4.0,0,12261.0,3782.33,5,May,Q2,18,Tuesday
ORD-10143,2023-03-20,North,Delhi,Furniture,In-Store,Carol,Cash,Corporate,30,293.97,0,103.65,48,3.0,0,8819.1,2527.25,3,Mar,Q1,12,Monday
ORD-10144,2023-05-05,West,Ahmedabad,Clothing,Online,Eva,Credit Card,Retail,9,38.89,5,36.74,45,3.1,0,332.51,35.28,5,May,Q2,18,Friday
ORD-10145,2023-08-14,North,Lucknow,Food,In-Store,Bob,UPI,Corporate,23,423.97,15,8.51,32,4.5,0,8288.61,3023.28,8,Aug,Q3,33,Monday
ORD-10146,2023-02-22,North,Chandigarh,Electronics,Online,Grace,EMI,Corporate,27,44.12,5,143.79,33,5.0,0,1131.68,216.53,2,Feb,Q1,8,Wednesday
ORD-10147,2023-09-19,East,Patna,Sports,In-Store,Grace,UPI,Retail,36,361.6,0,22.18,55,3.4,0,13017.6,1782.26,9,Sep,Q3,38,Tuesday
ORD-10148,2023-02-16,North,Lucknow,Food,Online,Frank,UPI,Corporate,43,139.38,0,10.98,18,2.6,0,5993.34,738.52,2,Feb,Q1,7,Thursday
ORD-10149,2023-08-16,West,Ahmedabad,Furniture,Online,Eva,Credit Card,Retail,14,24.31,10,128.69,47,2.8,0,306.31,-91.73,8,Aug,Q3,33,Wednesday
ORD-10150,2023-02-28,North,Delhi,Clothing,Wholesale,Eva,EMI,Retail,1,375.86,0,149.31,43,3.9,0,375.86,-25.03,2,Feb,Q1,9,Tuesday
ORD-10151,2023-11-08,North,Delhi,Furniture,In-Store,Eva,UPI,Retail,36,381.92,0,112.0,38,4.1,0,13749.12,3787.5,11,Nov,Q4,45,Wednesday
